Original,Character,Dialogue,Wordcount
"Mog:I can feel it. There's a warrior nearby, kupo.",Mog," I can feel it. There's a warrior nearby, kupo.",8
Hope:Is that him?,Hope, Is that him?,2
???:(A kid...and a girl with cat ears?),???, (A kid...and a girl with cat ears?),6
Y'shtola:Do not be alarmed. We are not your foe.,Y'shtola, Do not be alarmed. We are not your foe.,8
???:So you're the ones I keep hearing about.,???, So you're the ones I keep hearing about.,7
"Vivi:You've heard about us, Mister?",Vivi," You've heard about us, Mister?",4
"???:(""Mister""? Give me a break.)",???," (""Mister""? Give me a break.)",4
Squall:I'm Squall. My client told me about you.,Squall, I'm Squall. My client told me about you.,7
Squall:Mentioned you're on a journey to seal the Torsions.,Squall, Mentioned you're on a journey to seal the Torsions.,8
Warrior of Light:What is your purpose here?,Warrior of Light, What is your purpose here?,4
Squall:I'm a mercenary.,Squall, I'm a mercenary.,2
Squall:I've been tasked to investigate this cavern and eliminate any threat.,Squall, I've been tasked to investigate this cavern and eliminate any threat.,10
"Hope:All by yourself? I get that you're a soldier, but...",Hope," All by yourself? I get that you're a soldier, but...",9
Squall:I can take care of myself.,Squall, I can take care of myself.,5
Vivi:I guess he's not interested in joining us.,Vivi, I guess he's not interested in joining us.,7
Y'shtola:He is merely choosing not to get close to others.,Y'shtola, He is merely choosing not to get close to others.,9
"Y'shtola:In any event, he bears the light, does he not?",Y'shtola," In any event, he bears the light, does he not?",9
"Warrior of Light:More importantly, who is this client he spoke of?",Warrior of Light," More importantly, who is this client he spoke of?",8
"Mog:We'll just have to ask him ourselves, kupo!",Mog," We'll just have to ask him ourselves, kupo!",7
"Mog:Found you, kupo!",Mog," Found you, kupo!",2
Squall:(They're still here?),Squall, (They're still here?),2
"Vivi:Squall, are you fighting all by yourself? Isn't that a little dangerous?",Vivi," Squall, are you fighting all by yourself? Isn't that a little dangerous?",11
Squall:You're the ones who need to be careful.,Squall, You're the ones who need to be careful.,7
Squall:This isn't a place for amateurs.,Squall, This isn't a place for amateurs.,5
